Student_ID,Name,Email,Gender,Country,Age,Enrollment_Date,Course_Name,Course_Category,Progress (%),Time_Spent (hrs),Completed,Feedback_Rating,Session_Attendance
11b7e948-d0e6-4660-bc69-dee1bb5e4bcf,KIM MARTINEZ,josephbrennan@yahoo.com,MALE,Germany,0,18-08-2022,Digital Marketing 101,Marketing,70%,1 hour,0,2,"2022-08-18, 2022-08-25, 2022-09-01"
badcc32a-c159-4f53-8a0f-4efbedcd465e,MICHELLE ROSS,clam@gmail.com,Male,india,0,02-03-2023,Project Management Essentials,Business,57,120 minutes,Y,1,"2023-03-02, 2023-03-09, 2023-03-16, 2023-03-23, 2023-03-30, 2023-04-06"
05628059-568c-469b-9064-005c3985c3cf,CRYSTAL ROBINSON,perezrebecca@jones-young.info,F,india,0,27-04-2023,Python for Data Science,Data Science,9,1.5,1,5,"2023-04-27, 2023-05-04"
ef7ddc76-b92d-422b-a1df-306f8a0b3c33,LAURA SANCHEZ,glee@hotmail.com,MALE,us,0,05-03-2023,SEO Fundamentals,Marketing,24,120 minutes,0,1,"2023-03-05, 2023-03-12, 2023-03-19, 2023-03-26"
778eedb3-693d-4fbc-ac6f-a6115ab33edf,AMY VALDEZ,powellmatthew@wright.net,M,us,,05-02-2024,Python for Data Science,Data Science,13%,1 hour,Y,2,"2024-02-05, 2024-02-12, 2024-02-19, 2024-02-26, 2024-03-04, 2024-03-11, 2024-03-18"
474ebc19-2ef9-4276-ac00-6f6123e2fcb4,SHANNON JONES,pearsonamber@novak.com,F,UK,,03-03-2024,Adobe Illustrator Mastery,Design,69%,1.5,No,6,"2024-03-03, 2024-03-10"
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,anthony gray,sara74@yahoo.com,FEMALE,UK,,29-12-2023,Python for Data Science,Data Science,33,1.5,Y,6,"2023-12-29, 2024-01-05, 2024-01-12, 2024-01-19, 2024-01-26, 2024-02-02, 2024-02-09"
c88a618e-fed4-457d-bb02-6576f512c4c3,michelle moore,tanyariley@hotmail.com,M,India,34,24-03-2025,Social Media Strategy,Marketing,6%,1 hour,Y,5,24-03-2025
0cd620c2-0ea2-422b-9048-67babf7b539b,kathryn farrell,invalid-email,Female,us,0,10-07-2022,Digital Marketing 101,Marketing,72%,120 minutes,Yes,2,"2022-07-10, 2022-07-17, 2022-07-24, 2022-07-31"
14822f53-8201-4c62-b5f5-9b220e8fa8e0,andrea jones,kwilson@riley.org,Female,India,0,07-12-2022,Startup Strategy,Business,16%,90 mins,Y,,"2022-12-07, 2022-12-14, 2022-12-21, 2022-12-28, 2023-01-04, 2023-01-11"
90b2b633-956b-4c0c-a849-9b926b5252e3,taylor harris,josephanderson@hotmail.com,M,Uk,0,12-08-2022,Data Visualization with R,Data Science,44%,45,1,1,"2022-08-12, 2022-08-19, 2022-08-26, 2022-09-02"
c07a30f2-edd4-453b-90f0-fd0a750cab75,ALEXANDRA HOWELL,medinawilliam@mahoney.com,M,Canada,0,17-07-2023,Digital Marketing 101,Marketing,17%,1 hour,Yes,3,"2023-07-17, 2023-07-24, 2023-07-31, 2023-08-07, 2023-08-14"
d5704f32-702c-4d20-a862-18b848f4ef12,elizabeth riggs,sarah12@wilson-rodriguez.net,Male,India,28,02-11-2023,React for Beginners,Web Development,6%,45,Yes,1,"2023-11-02, 2023-11-09, 2023-11-16, 2023-11-23, 2023-11-30"
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,CHRISTINA WALTERS,dking@gmail.com,M,india,,04-12-2022,React for Beginners,Web Development,71,45,N,1,"2022-12-04, 2022-12-11, 2022-12-18, 2022-12-25, 2023-01-01, 2023-01-08, 2023-01-15, 2023-01-22"
0b49452d-46d4-43f3-9450-281c6c6f7633,RAY WALSH,joycearnold@yahoo.com,Female,IN,0,17-12-2024,Graphic Design Basics,Design,5%,2,No,3,17-12-2024
f1eedba3-1343-4e61-9ca3-c4480279b6a6,STEPHANIE GARDNER,russellwilliams@yahoo.com,female,us,0,25-08-2024,Social Media Strategy,Marketing,22,90 mins,N,4,"2024-08-25, 2024-09-01, 2024-09-08"
ae9bec36-35c7-436c-9b99-62c6e61fecc0,BRIAN DELEON,sarayoung@gmail.com,female,Canada,44,07-06-2022,Startup Strategy,Business,60,120 minutes,0,2,"2022-06-07, 2022-06-14"
2dea9493-0658-463a-a98c-206fe1a47e10,evelyn galvan,erik16@garrison.com,female,India,,07-01-2023,JavaScript Bootcamp,Web Development,98,2,Yes,3,"2023-01-07, 2023-01-14, 2023-01-21, 2023-01-28, 2023-02-04, 2023-02-11"
cb9bc326-d20e-4c17-8e20-fd1a598336e3,courtney keller,joshua14@yahoo.com,MALE,Germany,26,22-03-2024,Python for Data Science,Data Science,40,2,Y,4,"2024-03-22, 2024-03-29, 2024-04-05, 2024-04-12, 2024-04-19, 2024-04-26, 2024-05-03"
fb2ca025-adf4-462d-a651-529e8268690b,erin johnson,beverlyterrell@gmail.com,Female,Canada,,28-12-2024,Social Media Strategy,Marketing,85%,2,Yes,3,"2024-12-28, 2025-01-04, 2025-01-11, 2025-01-18"
ba81edd9-587e-4344-af3f-920c98b8e4cc,jessica joyce,mlam@williams-graham.net,M,Canada,0,22-09-2022,Adobe Illustrator Mastery,Design,53%,45,Yes,,"2022-09-22, 2022-09-29, 2022-10-06, 2022-10-13, 2022-10-20"
bdf070aa-f0b5-456b-b82c-9074afd5dea5,christina reynolds,elizabeth14@hotmail.com,FEMALE,UK,39,21-07-2024,Startup Strategy,Business,41%,45,0,4,"2024-07-21, 2024-07-28, 2024-08-04, 2024-08-11, 2024-08-18, 2024-08-25, 2024-09-01"
6703b636-5380-4904-a88c-7015aab97e49,KRISTEN LEE,invalid-email,F,Uk,37,31-07-2023,SEO Fundamentals,Marketing,28%,90 mins,0,6,"2023-07-31, 2023-08-07"
bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,lisa turner,justin69@pena.com,Female,us,25,02-02-2025,Digital Marketing 101,Marketing,18%,120 minutes,0,,"2025-02-02, 2025-02-09, 2025-02-16, 2025-02-23, 2025-03-02, 2025-03-09, 2025-03-16"
f5b78cc7-e6b3-4944-8b32-3e357922bac2,CAROLYN MILLER,cardenaskaren@hotmail.com,female,Uk,0,09-06-2024,SEO Fundamentals,Marketing,15%,45,No,4,09-06-2024
25b8fd4b-32fa-4de8-8e7a-e7f639820cff,david alvarez,operry@lee.com,male,india,0,02-08-2023,SEO Fundamentals,Marketing,57,1 hour,No,3,"2023-08-02, 2023-08-09, 2023-08-16"
e4855aa1-016b-4287-b008-05cca7f36ae9,PATRICIA RODRIGUEZ,gregoryrubio@hotmail.com,MALE,UK,40,22-11-2022,Data Visualization with R,Data Science,40%,90 mins,No,5,"2022-11-22, 2022-11-29, 2022-12-06, 2022-12-13, 2022-12-20"
eadf5085-3fcb-4546-8eb2-25790cdb1ca4,joyce solis,usalazar@hotmail.com,Male,us,33,28-03-2024,Finance 101,Business,53%,120 minutes,Yes,4,"2024-03-28, 2024-04-04, 2024-04-11, 2024-04-18, 2024-04-25, 2024-05-02, 2024-05-09, 2024-05-16"
722764e6-8c41-461b-a827-a1b9d4a02e53,NATASHA WELLS,maryramirez@hotmail.com,MALE,UK,,29-01-2024,UI/UX Fundamentals,Design,55%,120 minutes,1,4,"2024-01-29, 2024-02-05, 2024-02-12, 2024-02-19"
709b7d97-464c-44af-bd3f-3799a07295e9,dustin nelson,taylorjesse@hotmail.com,FEMALE,UK,,28-04-2024,Digital Marketing 101,Marketing,3%,45,N,1,"2024-04-28, 2024-05-05, 2024-05-12, 2024-05-19, 2024-05-26, 2024-06-02, 2024-06-09"
6a34c854-1071-4d51-b6c5-9dacb4d7e28e,joshua perry,xprice@shah.org,Male,IN,0,30-11-2022,UI/UX Fundamentals,Design,53%,120 minutes,0,3,"2022-11-30, 2022-12-07, 2022-12-14, 2022-12-21, 2022-12-28, 2023-01-04"
5a0cdd7c-f157-4470-8182-67c47a1b5806,JAMES SNOW,tracynelson@yahoo.com,Female,Germany,0,18-11-2023,Python for Data Science,Data Science,79,90 mins,Yes,2,"2023-11-18, 2023-11-25, 2023-12-02, 2023-12-09"
addc3e13-ab3b-4d37-960c-95ee638c254c,MISTY PITTMAN,meadowsbrittany@johnson.info,MALE,us,40,22-05-2022,React for Beginners,Web Development,13,90 mins,0,5,"2022-05-22, 2022-05-29"
53cd6268-610c-4373-8299-9aa40cdf742b,gabriel juarez,karen64@gmail.com,female,india,0,14-01-2023,HTML & CSS Basics,Web Development,15%,1 hour,1,6,"2023-01-14, 2023-01-21, 2023-01-28, 2023-02-04, 2023-02-11"
0d557b61-8a17-4dfe-bfc0-0dc804f64d86,mrs. marie harrington dds,jamessmith@allen.com,M,us,0,06-04-2024,Startup Strategy,Business,46%,120 minutes,0,,"2024-04-06, 2024-04-13, 2024-04-20, 2024-04-27, 2024-05-04, 2024-05-11, 2024-05-18"
b31022f0-770c-4798-b7cc-863bf2a03459,JACOB OBRIEN,tamirodriguez@hickman.biz,Female,Canada,32,30-08-2024,Finance 101,Business,93%,120 minutes,1,5,"2024-08-30, 2024-09-06, 2024-09-13, 2024-09-20, 2024-09-27, 2024-10-04, 2024-10-11, 2024-10-18"
13748146-32c5-4d89-b70b-3420f1043785,sandra sanchez,hoganashlee@gmail.com,male,IN,0,14-12-2023,Social Media Strategy,Marketing,41%,2,Yes,2,"2023-12-14, 2023-12-21, 2023-12-28, 2024-01-04, 2024-01-11, 2024-01-18, 2024-01-25"
5eddbbbf-a959-4663-adaa-2e688861fe18,matthew smith,xgarcia@hotmail.com,FEMALE,Uk,32,28-09-2023,Digital Marketing 101,Marketing,52%,1.5,N,4,"2023-09-28, 2023-10-05, 2023-10-12, 2023-10-19"
2d174fc9-6f7c-45ea-a72a-6d8eb5122df8,tracie nelson,ugraham@hotmail.com,female,IN,,21-03-2024,Adobe Illustrator Mastery,Design,47%,2,Yes,4,"2024-03-21, 2024-03-28, 2024-04-04, 2024-04-11"
d4aac9a3-3ed8-456c-9a09-dfa052828d80,diana hayes,frogers@yahoo.com,FEMALE,Canada,0,28-05-2023,HTML & CSS Basics,Web Development,68%,2,1,6,"2023-05-28, 2023-06-04, 2023-06-11, 2023-06-18"
cc3ebdde-5ad5-4f06-b64d-7c877cd0129d,douglas carlson,blackjames@gmail.com,M,Canada,19,14-01-2023,SEO Fundamentals,Marketing,46%,90 mins,0,2,"2023-01-14, 2023-01-21"
3d85de89-c217-4429-8e20-07247d137018,maria henry,phillipsrichard@torres.com,M,India,,29-12-2023,React for Beginners,Web Development,73,1.5,Y,3,"2023-12-29, 2024-01-05, 2024-01-12, 2024-01-19, 2024-01-26, 2024-02-02, 2024-02-09, 2024-02-16"
6cedd15d-5800-4c02-87ea-7ff58db06746,KRISTA BELL MD,jerry35@gmail.com,male,USA,25,11-04-2024,UI/UX Fundamentals,Design,6%,45,No,2,"2024-04-11, 2024-04-18"
2f65fafa-b0ae-4f08-831e-dbbcf36cb62b,parker hill,wallkenneth@yahoo.com,male,India,0,17-07-2024,Social Media Strategy,Marketing,56%,45,N,3,"2024-07-17, 2024-07-24, 2024-07-31, 2024-08-07"
88bd13d1-b540-430e-839f-3a254d6168bd,ANGEL BROWN,danamullins@gmail.com,FEMALE,Canada,19,10-01-2023,JavaScript Bootcamp,Web Development,70%,90 mins,Yes,1,"2023-01-10, 2023-01-17"
7a8d03aa-782a-45e0-88ca-765192f5df7b,cody williams,shortrichard@gmail.com,MALE,USA,35,26-04-2022,Graphic Design Basics,Design,80,2,Yes,5,"2022-04-26, 2022-05-03, 2022-05-10, 2022-05-17"
26d794d3-0db9-4301-afbb-411aa1235a8c,justin torres,grantrobert@gibbs.info,FEMALE,USA,0,19-09-2024,HTML & CSS Basics,Web Development,76,90 mins,No,,19-09-2024
fd72b050-96a9-454f-9c33-e1f94c1f55ab,keith brown,colleenbaker@moore.net,Male,USA,0,23-02-2024,Finance 101,Business,5%,120 minutes,1,4,"2024-02-23, 2024-03-01, 2024-03-08, 2024-03-15, 2024-03-22, 2024-03-29, 2024-04-05, 2024-04-12"
735435ea-6894-4b8d-80af-5b3a2812859a,julie johnson,jacqueline71@hotmail.com,male,UK,,01-08-2022,Digital Marketing 101,Marketing,96%,45,No,2,"2022-08-01, 2022-08-08, 2022-08-15, 2022-08-22, 2022-08-29"
ca8f3653-c9af-48f8-83b9-da13ec856f37,mary peck,stephensdeborah@yahoo.com,FEMALE,Canada,,04-04-2023,Machine Learning A-Z,Data Science,85%,120 minutes,1,1,"2023-04-04, 2023-04-11, 2023-04-18, 2023-04-25, 2023-05-02, 2023-05-09"
cae9b4a7-2a79-4a68-8f44-704f1247ea4e,paul carroll,smartinez@yahoo.com,Male,india,,13-11-2022,Machine Learning A-Z,Data Science,14%,2,1,6,"2022-11-13, 2022-11-20"
801ef1da-45b1-4d25-b153-3ae8670acc5c,JESSICA GEORGE,cassandra01@gmail.com,male,Uk,,28-03-2025,Finance 101,Business,6%,1 hour,0,2,"2025-03-28, 2025-04-04, 2025-04-11, 2025-04-18, 2025-04-25, 2025-05-02, 2025-05-09, 2025-05-16"
964db03f-9340-4fad-9c4a-d56bd6016237,YVONNE CHAMBERS,hinesgregory@hotmail.com,Female,Uk,0,17-02-2025,Digital Marketing 101,Marketing,70%,2,No,4,"2025-02-17, 2025-02-24, 2025-03-03"
2e76128b-4735-44f9-aa83-bf007135f221,jessica olsen dvm,ricky51@gmail.com,F,india,41,13-01-2025,Finance 101,Business,60,120 minutes,Yes,2,"2025-01-13, 2025-01-20, 2025-01-27, 2025-02-03, 2025-02-10"
49c8a43f-7ed7-4ed7-b194-990b6961929e,jennifer hodges,qmiller@wilson-barton.net,FEMALE,UK,0,01-09-2023,UI/UX Fundamentals,Design,38%,1.5,Yes,6,"2023-09-01, 2023-09-08, 2023-09-15, 2023-09-22, 2023-09-29"
764414fd-8ae7-49ed-9e8e-de0ba85c6e4a,CODY COX,nwolf@yahoo.com,MALE,India,0,08-04-2022,Social Media Strategy,Marketing,24,120 minutes,No,,"2022-04-08, 2022-04-15, 2022-04-22, 2022-04-29, 2022-05-06, 2022-05-13, 2022-05-20"
70286046-49bc-473f-ad7b-f656218a1536,kari johnson,lancesmith@davis-gay.com,Female,Uk,0,07-08-2024,Adobe Illustrator Mastery,Design,16,120 minutes,Y,5,"2024-08-07, 2024-08-14, 2024-08-21"
d50755d9-a5d0-4d53-9e12-42e3f27292b6,timothy carter,edavenport@gmail.com,Female,IN,0,23-03-2024,JavaScript Bootcamp,Web Development,33%,1.5,No,3,"2024-03-23, 2024-03-30, 2024-04-06"
30cbd755-6232-417a-a507-41818d1fb540,katie suarez,kendra65@adams.org,F,USA,31,16-03-2024,Finance 101,Business,8%,45,0,2,"2024-03-16, 2024-03-23, 2024-03-30, 2024-04-06, 2024-04-13, 2024-04-20, 2024-04-27, 2024-05-04"
dd81b7f5-7d59-41c6-a8f1-e091ffb8102d,joshua reed,mcantu@hotmail.com,female,IN,31,23-09-2024,Machine Learning A-Z,Data Science,3%,1 hour,No,1,"2024-09-23, 2024-09-30, 2024-10-07"
db23aa8c-3bca-4f85-a20a-60ac9261549d,amanda garner,ymcneil@hotmail.com,FEMALE,UK,,12-04-2023,Social Media Strategy,Marketing,78%,90 mins,No,6,"2023-04-12, 2023-04-19, 2023-04-26"
2051acef-097a-4e10-b6fe-bc0e7ecddbaf,LESLIE KANE,foxstephen@hotmail.com,female,Canada,,29-11-2022,Finance 101,Business,86,120 minutes,No,5,29-11-2022
f84f16b3-a79f-4faf-9ef5-768968f45bce,john costa,vsantos@hotmail.com,male,India,0,16-11-2022,Startup Strategy,Business,48%,120 minutes,Y,5,"2022-11-16, 2022-11-23, 2022-11-30, 2022-12-07, 2022-12-14, 2022-12-21, 2022-12-28"
a075e927-5110-4492-b442-7e0b61484bb3,olivia brennan,younggabrielle@bright-francis.biz,female,Germany,38,13-07-2024,Social Media Strategy,Marketing,36,45,0,6,13-07-2024
df615a5c-b432-4070-a23d-4c2fc2a79689,christopher evans,nguyenbrian@brooks-thomas.net,M,USA,,06-09-2022,React for Beginners,Web Development,39%,1 hour,N,6,"2022-09-06, 2022-09-13"
2e183554-cae2-4e66-ae8a-781390e0a95b,BOB PITTS,jdurham@murray.info,FEMALE,Canada,,07-01-2024,HTML & CSS Basics,Web Development,34%,45,No,6,"2024-01-07, 2024-01-14, 2024-01-21, 2024-01-28, 2024-02-04, 2024-02-11"
cdfc6ee0-e61e-4e90-8267-deb3aab612c9,dwayne payne,llandry@fowler-coleman.com,MALE,India,0,08-05-2023,Python for Data Science,Data Science,50,1 hour,Yes,6,"2023-05-08, 2023-05-15, 2023-05-22, 2023-05-29"
ffd6f232-32ff-4294-8d57-d880d865d69a,JOHN YOUNG,invalid-email,female,Germany,38,16-03-2024,Finance 101,Business,13,1 hour,No,,"2024-03-16, 2024-03-23, 2024-03-30, 2024-04-06, 2024-04-13, 2024-04-20, 2024-04-27"
fe2110d0-4bbe-4aff-9326-dffd5be4bf51,alison greer,alan09@hotmail.com,F,india,,11-09-2024,Finance 101,Business,4%,1.5,0,3,"2024-09-11, 2024-09-18, 2024-09-25, 2024-10-02, 2024-10-09, 2024-10-16, 2024-10-23"
4944051b-e726-4e23-a776-b886d534ee1d,crystal pham,christinebyrd@saunders.com,Male,IN,,17-05-2024,SEO Fundamentals,Marketing,62%,120 minutes,N,5,"2024-05-17, 2024-05-24, 2024-05-31"
c9e26074-4f16-49a0-8a17-991ea5769411,KEVIN OCONNOR,mark62@anderson.com,Female,Uk,0,06-12-2024,Startup Strategy,Business,82,45,0,3,"2024-12-06, 2024-12-13, 2024-12-20, 2024-12-27, 2025-01-03, 2025-01-10"
d499da99-45c4-4a3e-a9da-484a80759f1f,thomas raymond,linda71@gmail.com,F,Germany,44,09-07-2024,Digital Marketing 101,Marketing,16%,2,N,6,09-07-2024
aca5e2fd-b966-442a-ad23-8d36dc322c97,tracy ballard,gibbsalexander@hotmail.com,Male,UK,,23-03-2023,Digital Marketing 101,Marketing,69,90 mins,N,3,"2023-03-23, 2023-03-30, 2023-04-06, 2023-04-13, 2023-04-20"
bfbf397b-ac3e-4b0d-9e5b-a13d746cdb77,lauren carson,leonardthomas@hotmail.com,Female,Uk,,15-10-2022,SEO Fundamentals,Marketing,16%,90 mins,Y,,15-10-2022
38ab854c-9c2e-48de-aa4e-361753f8382b,madison marshall,cwilson@gmail.com,Male,India,,26-08-2024,Adobe Illustrator Mastery,Design,100%,45,Y,6,"2024-08-26, 2024-09-02, 2024-09-09, 2024-09-16"
18e19331-1dba-4267-be1c-a5a1fef518a6,JOSHUA PRICE,umatthews@gmail.com,female,us,0,23-07-2023,Adobe Illustrator Mastery,Design,41,1.5,1,5,"2023-07-23, 2023-07-30, 2023-08-06, 2023-08-13, 2023-08-20, 2023-08-27, 2023-09-03, 2023-09-10"
7d45d8ef-d56c-48ea-9959-7b5aa7a8f636,teresa ramirez,scottsampson@yahoo.com,F,us,32,11-01-2024,SEO Fundamentals,Marketing,83%,1 hour,No,,"2024-01-11, 2024-01-18"
8b621d41-5e09-49ee-af88-bdecfb1e143b,maria brown,tammyrush@yahoo.com,FEMALE,USA,20,08-09-2022,UI/UX Fundamentals,Design,85%,2,Y,3,"2022-09-08, 2022-09-15"
a3b5cece-a446-4e72-b64c-911aa9ab364a,alison buchanan,kristinharris@clark.com,MALE,India,0,27-08-2022,Startup Strategy,Business,71,45,Y,3,27-08-2022
00b9d4a3-9892-40ac-a689-33a9c9e48e8c,WILLIAM HUERTA,danieldelacruz@gmail.com,female,USA,,22-11-2022,Social Media Strategy,Marketing,28%,90 mins,No,6,"2022-11-22, 2022-11-29, 2022-12-06, 2022-12-13"
3ce915e7-c9d6-463b-8a3c-6f5f5bb5c40c,ALEXIS BAKER,vfox@alvarez.net,male,IN,29,30-04-2022,Social Media Strategy,Marketing,88,45,N,3,30-04-2022
38b77c07-80fb-4296-b3b6-a09b1beaf6ac,AMANDA LOGAN,bschneider@gmail.com,MALE,us,,15-10-2024,Social Media Strategy,Marketing,81%,1.5,Yes,1,"2024-10-15, 2024-10-22, 2024-10-29, 2024-11-05, 2024-11-12, 2024-11-19, 2024-11-26"
afa415e5-6d20-4496-a6d0-6371d8e88ebb,MICHEAL WALLACE,charlene12@weber-richards.com,FEMALE,us,0,20-04-2024,Finance 101,Business,96%,1.5,Yes,5,"2024-04-20, 2024-04-27"
4b7e6b3c-87d2-42a6-98ee-ac2bfe9fecaa,larry garcia,russellbeasley@morgan-chavez.biz,male,India,,19-11-2023,React for Beginners,Web Development,36%,2,Y,,"2023-11-19, 2023-11-26"
aa448259-5001-4b7b-ad40-67f450032b35,TROY MCDANIEL,davischristopher@yahoo.com,FEMALE,us,23,01-09-2022,Python for Data Science,Data Science,97,90 mins,0,3,"2022-09-01, 2022-09-08, 2022-09-15, 2022-09-22, 2022-09-29"
cfd01cbd-5f65-48ce-bd21-bc11be9d61ee,anthony frye,jenkinsmorgan@yahoo.com,Female,IN,,04-09-2022,React for Beginners,Web Development,94%,1.5,0,1,"2022-09-04, 2022-09-11, 2022-09-18, 2022-09-25, 2022-10-02, 2022-10-09"
4ffca6b1-99b4-49d4-89a2-14aef7e8f8e5,kenneth lewis,melaniebell@hotmail.com,female,USA,31,25-06-2022,UI/UX Fundamentals,Design,41%,120 minutes,1,2,"2022-06-25, 2022-07-02"
92f837d4-4750-4f1d-833a-1f6c1d691fba,JEFFREY HOFFMAN,anthony44@bell-white.com,Female,india,38,29-10-2023,Adobe Illustrator Mastery,Design,95,120 minutes,N,3,"2023-10-29, 2023-11-05"
2451e5a4-11d0-49b2-a699-cd99a847bce7,VALERIE DAVIS,vbarnes@wood.com,Female,UK,0,02-09-2024,Project Management Essentials,Business,32%,90 mins,1,2,"2024-09-02, 2024-09-09, 2024-09-16"
0d77c5a0-e222-46a6-95bf-be9798a21f1c,paul williams,scott67@ramos.com,male,India,0,04-09-2024,SEO Fundamentals,Marketing,56%,1 hour,No,1,"2024-09-04, 2024-09-11, 2024-09-18, 2024-09-25, 2024-10-02, 2024-10-09"
ad9fb00d-4882-473c-9c63-45ab6e0ed1e8,katelyn estrada,randallgreene@harris.com,MALE,Uk,0,25-09-2023,Graphic Design Basics,Design,9,2,0,,25-09-2023
01fa964e-1eb7-4b56-93ff-d3a24a193501,jeffrey anderson md,charles06@stevens.com,female,USA,0,08-05-2023,Machine Learning A-Z,Data Science,64%,2,N,2,"2023-05-08, 2023-05-15, 2023-05-22, 2023-05-29"
b5a1b949-6788-4209-92ca-525a6de59332,donna sullivan,lauriemontgomery@hotmail.com,Male,IN,,17-09-2024,UI/UX Fundamentals,Design,36%,2,0,4,"2024-09-17, 2024-09-24, 2024-10-01"
1b19d8b8-d830-4081-afcc-57dd168fae12,KEVIN WARREN,julie35@gmail.com,M,IN,0,21-10-2023,UI/UX Fundamentals,Design,77,1 hour,No,6,"2023-10-21, 2023-10-28, 2023-11-04, 2023-11-11, 2023-11-18"
87d5b7be-1d30-4990-a21b-030782af085c,susan bailey,curtisscott@morrison.com,Female,us,,03-08-2022,React for Beginners,Web Development,82%,2,Yes,6,"2022-08-03, 2022-08-10"
7e7e7419-a0c1-4035-85d9-5f51f387e1bd,JUSTIN RILEY,edward17@yahoo.com,Female,india,0,07-01-2023,HTML & CSS Basics,Web Development,17%,120 minutes,1,2,"2023-01-07, 2023-01-14, 2023-01-21, 2023-01-28, 2023-02-04, 2023-02-11"
97674900-4651-4367-8bdc-43184d85a3d2,JORDAN COLLINS,brownmarie@gmail.com,M,Uk,,12-12-2024,Data Visualization with R,Data Science,48%,45,0,2,"2024-12-12, 2024-12-19, 2024-12-26, 2025-01-02, 2025-01-09, 2025-01-16"
171dabf9-daf4-41a7-ba34-d2e8dd3f7d7e,KATIE FORD,kstout@lopez.com,FEMALE,Germany,0,02-01-2025,JavaScript Bootcamp,Web Development,29,1 hour,No,5,"2025-01-02, 2025-01-09, 2025-01-16, 2025-01-23, 2025-01-30"
d65e59dd-e62d-4d06-8f9b-85581a7f195b,MIGUEL WAGNER,wrightsamuel@warren-bishop.com,male,India,,06-03-2024,UI/UX Fundamentals,Design,20%,45,1,6,"2024-03-06, 2024-03-13, 2024-03-20, 2024-03-27, 2024-04-03, 2024-04-10, 2024-04-17"
68a51c68-632d-4b5e-886b-b6bfeafde7d9,meghan williams,riveraangela@yahoo.com,MALE,USA,,07-11-2023,Data Visualization with R,Data Science,20%,2,Y,3,"2023-11-07, 2023-11-14"
a8149562-da00-4f16-b946-9bcf4082cbb9,lindsey hernandez,invalid-email,Female,IN,43,22-06-2023,Graphic Design Basics,Design,49%,45,Yes,1,"2023-06-22, 2023-06-29, 2023-07-06, 2023-07-13, 2023-07-20, 2023-07-27, 2023-08-03"
eaafe543-2434-4678-a9e2-7ba9952e6abb,walter hale,invalid-email,F,UK,0,11-08-2022,Adobe Illustrator Mastery,Design,78%,1 hour,No,1,"2022-08-11, 2022-08-18, 2022-08-25"
